lon,lat,temperature
106.5,30,1022.9805792902
106.75,30,985.88489403584
107,30,948.51739208092
107.25,30,911.74793208583
107.5,30,873.55610569817
107.75,30,848.68570963073
108,30,830.50014404982
108.25,30,819.2639360197
108.5,30,795.5503419749
108.75,30,772.2951071672
109,30,798.79569163055
114,30,448.85616533751
114.25,30,448.18160710123
114.5,30,450.28396499777
114.75,30,449.79717981552
115,30,458.25932900547
115.25,30,468.67072281697
115.5,30,480.42758532094
115.75,30,491.51935455275
116,30,497.20268046269
116.25,30,507.6184083588
116.5,30,517.81265255502
116.75,30,530.8109145981
117,30,538.30853039713
117.25,30,558.87198920376
117.5,30,577.9872097828
117.75,30,602.075511903
118,30,625.09993596971
106.5,30.25,997.71563242219
106.75,30.25,969.82478006939
107,30.25,924.95472655083
107.25,30.25,875.28805329063
107.5,30.25,829.89910405074
107.75,30.25,804.35330058155
108,30.25,792.87284663182
108.25,30.25,788.79549142478
108.5,30.25,773.16459263736
108.75,30.25,782.03091513013
109,30.25,785.055500107
114.25,30.25,439.61490029605
114.5,30.25,443.07410064265
114.75,30.25,447.74075452825
115,30.25,456.93077965676
115.25,30.25,468.0895027828
115.5,30.25,482.60467914101
115.75,30.25,493.21563141342
116,30.25,503.90540110751
116.25,30.25,513.32620703852
116.5,30.25,519.00786181046
116.75,30.25,522.32418519327
117,30.25,538.55421440467
117.25,30.25,562.91505803867
117.5,30.25,588.23003979939
117.75,30.25,622.58773126855
118,30.25,621.80186860852
118.25,30.25,635.89706220135
106.5,30.5,923.44954331435
106.75,30.5,911.09648659544
107,30.5,863.94745547329
107.25,30.5,801.42237828583
107.5,30.5,749.48452217363
107.75,30.5,727.5362044238
108,30.5,730.40281893271
108.25,30.5,734.11347090528
108.5,30.5,736.60997369271
108.75,30.5,740.52111185026
109,30.5,745.00179094468
114.25,30.5,420.50653347094
114.5,30.5,423.9111149998
114.75,30.5,434.61638776518
115,30.5,454.20702445273
115.25,30.5,466.13729421354
115.5,30.5,475.68499610633
115.75,30.5,485.20287323816
116,30.5,493.45715044551
116.25,30.5,499.46529984245
116.5,30.5,501.96942567041
116.75,30.5,502.61899299833
117,30.5,510.76004490729
117.25,30.5,543.75972276996
117.5,30.5,577.45402117879
117.75,30.5,607.20846125856
118,30.5,619.38137972789
118.25,30.5,618.77949722328
119.5,30.5,641.29014494662
106.75,30.75,836.77170517521
107,30.75,801.15459583739
107.25,30.75,750.81005040974
107.5,30.75,702.83040791202
107.75,30.75,690.93419493178
108,30.75,701.23631696588
108.25,30.75,711.10508757257
108.5,30.75,715.37002333294
108.75,30.75,724.14434600679
109,30.75,728.57543783353
114.25,30.75,408.82682947397
114.5,30.75,417.32082236329
114.75,30.75,459.49776319815
115,30.75,463.6660242965
115.25,30.75,473.45352260416
115.5,30.75,488.00187391996
115.75,30.75,496.20243367217
116,30.75,501.95936869183
116.25,30.75,509.45031877159
116.5,30.75,513.79495296767
116.75,30.75,516.10414194695
117,30.75,523.8320051082
117.25,30.75,559.28435237411
117.5,30.75,595.66930188346
117.75,30.75,626.2138838318
118,30.75,627.39067142799
118.25,30.75,619.90149984255
118.5,30.75,617.5699443081
118.75,30.75,606.35910978119
119,30.75,611.06695495878
119.25,30.75,618.44260710053
119.5,30.75,626.82320365199
119.75,30.75,636.07629799546
120,30.75,641.69560163616
120.25,30.75,664.67910992304
106.75,31,747.63317638193
107,31,726.80859917275
107.25,31,699.55349702366
107.5,31,678.45526289881
107.75,31,676.52628451293
108,31,686.27821068412
108.25,31,695.67750123292
108.5,31,698.95048177181
108.75,31,710.36306906271
109,31,714.80771370523
109.25,31,718.95503625621
114,31,412.69423060798
114.25,31,416.74755203786
114.5,31,437.97305945864
114.75,31,459.85346118934
115,31,463.63084199834
115.25,31,474.31641654776
115.5,31,486.77066137179
115.75,31,497.51611139708
116,31,514.10120291789
116.25,31,525.615674088
116.5,31,537.31188230387
116.75,31,545.13617479876
117,31,557.48505746182
117.25,31,581.08083722495
117.5,31,608.398596359
117.75,31,625.52381271196
118,31,626.90938280377
118.25,31,612.79123511479
118.5,31,607.92766194376
118.75,31,601.02064530326
119,31,607.53275465729
119.25,31,609.98239959703
119.5,31,617.89311370697
119.75,31,623.48480264972
120,31,627.06828276297
120.25,31,642.34325622325
120.5,31,664.05627576751
120.75,31,683.57926744608
121,31,693.55878625821
106.75,31.25,661.49169654988
107,31.25,653.56044353897
107.25,31.25,649.19124231813
107.5,31.25,649.4880107736
107.75,31.25,655.77253556739
108,31.25,678.52568299127
108.25,31.25,703.62141378543
108.5,31.25,723.45954073726
108.75,31.25,742.56406677139
109,31.25,761.43262128806
109.5,31.25,710.0923267956
114,31.25,409.57933149349
114.25,31.25,415.26150980991
114.5,31.25,439.95996728407
114.75,31.25,468.42452084236
115,31.25,473.2783846005
115.25,31.25,484.86622202784
115.5,31.25,499.00342010765
115.75,31.25,506.57865209363
116,31.25,523.32449636828
116.25,31.25,537.93154985612
116.5,31.25,554.42779892101
116.75,31.25,570.2397145664
117,31.25,583.43301662547
117.25,31.25,594.63085704785
117.5,31.25,607.37655128407
117.75,31.25,614.60294531525
118,31.25,612.89273855779
118.25,31.25,608.62910027336
118.5,31.25,598.8467660947
118.75,31.25,592.59802081899
119,31.25,597.51821550437
119.25,31.25,600.3911075991
119.5,31.25,606.41041797412
119.75,31.25,614.13958788796
120,31.25,618.79072568817
120.25,31.25,630.62483027288
120.5,31.25,645.96060490078
120.75,31.25,659.63754446142
121,31.25,661.29398657922
121.25,31.25,654.57467002795
107,31.5,584.9715707502
107.25,31.5,591.48406464621
107.5,31.5,610.52079546571
107.75,31.5,636.7295536593
108,31.5,672.24497417283
108.25,31.5,711.05783950872
108.5,31.5,752.41924241598
108.75,31.5,789.36796781268
109,31.5,772.46215316774
109.25,31.5,791.85257507597
109.5,31.5,808.43480691535
114,31.5,411.11711321537
114.25,31.5,434.16729102166
114.5,31.5,444.24097069474
114.75,31.5,475.490033482
115,31.5,481.58383064557
115.25,31.5,496.48612957415
115.5,31.5,508.24016390259
115.75,31.5,523.29796993539
116,31.5,537.19601180338
116.25,31.5,549.21193369397
116.5,31.5,565.14705312803
116.75,31.5,585.05495188873
117,31.5,596.5750427453
117.25,31.5,607.9981957363
117.5,31.5,612.09466719773
117.75,31.5,608.808107446
118,31.5,602.15491260752
118.25,31.5,600.67978459812
118.5,31.5,595.20058495561
118.75,31.5,586.74298563734
119,31.5,587.69713260149
119.25,31.5,589.96596263239
119.5,31.5,598.2458270005
119.75,31.5,607.06731040567
120,31.5,610.58839056944
120.25,31.5,620.96959940527
120.5,31.5,632.89363375198
120.75,31.5,641.77013806528
121,31.5,643.57381216635
121.25,31.5,636.74135340071
121.5,31.5,641.07514599096
106.75,31.75,511.84634312471
107,31.75,529.6384116431
107.25,31.75,553.3184863309
107.5,31.75,585.62286636244
107.75,31.75,625.62251271981
108,31.75,670.1871764073
108.25,31.75,714.28500666158
108.5,31.75,759.40070326601
108.75,31.75,797.47588908178
109,31.75,785.68325376607
109.25,31.75,809.55572072781
109.5,31.75,828.24770198094
112.5,31.75,433.91882076837
113.75,31.75,412.45035903653
114,31.75,413.73979705734
114.25,31.75,439.09278964262
114.5,31.75,451.89882601043
114.75,31.75,481.62468721727
115,31.75,491.00142197033
115.25,31.75,504.08182614226
115.5,31.75,516.94037528242
115.75,31.75,531.35989598385
116,31.75,548.66612431412
116.25,31.75,564.31288122107
